Age,Income,Loan_Amount,Credit_Score,Employment_Years,Education_Level,Housing_Status,Default
59,52154.0,11276,823,15,Bachelors,Own,0
49,116646.0,43663,315,5,PhD,Own,0
35,61157.0,18994,428,8,Masters,Own,1
63,52154.0,28499,408,26,Bachelors,Rent,0
28,148876.0,28040,832,3,Masters,Own,1
41,87506.0,48320,568,26,PhD,Own,0
59,107487.0,21959,461,27,Masters,Own,0
39,49486.0,11099,559,1,PhD,Own,1
43,24018.0,47267,401,28,High School,Own,0
31,64028.0,24576,805,3,Masters,Own,1
31,22336.0,40946,546,0,Masters,Rent,1
44,149038.0,11116,836,18,High School,Own,0
56,149038.0,20563,430,25,Masters,Own,0
60,52265.0,31788,652,24,High School,Mortgage,0
44,52265.0,31928,495,9,Bachelors,Rent,0
23,86656.0,41336,681,20,PhD,Rent,0
42,75180.0,14847,526,14,High School,Rent,0
22,64028.0,31155,775,26,Masters,Rent,0
44,61157.0,19135,776,21,High School,Own,0
64,29446.0,22774,564,18,Masters,Own,1
50,116809.0,6742,671,15,Bachelors,Mortgage,0
58,44519.0,23309,785,20,High School,Mortgage,0
22,63872.0,5619,733,26,Bachelors,Rent,0
41,132250.0,22658,510,23,PhD,Mortgage,0
53,74917.0,39707,676,21,Masters,Mortgage,0
32,116646.0,25337,694,3,Masters,Rent,0
42,71356.0,21001,749,1,Bachelors,Rent,1
64,148876.0,5968,663,29,PhD,Mortgage,0
45,86656.0,30892,756,24,High School,Own,0
47,91907.0,30619,525,12,High School,Mortgage,0
62,75180.0,5281,430,27,Masters,Mortgage,1
48,107487.0,32420,775,0,Bachelors,Own,0
36,86656.0,20360,576,16,Bachelors,Own,0
35,76819.0,44030,455,12,High School,Rent,0
64,63872.0,6058,517,3,PhD,Rent,0
23,79379.0,25677,489,6,PhD,Mortgage,0
57,117720.0,15724,716,16,High School,Own,0
27,87779.0,33404,845,8,High School,Rent,1
41,148876.0,42946,340,3,Bachelors,Mortgage,0
29,63872.0,44748,606,18,PhD,Own,0
59,75180.0,34856,637,0,High School,Mortgage,0
38,107487.0,14200,613,9,High School,Rent,0
24,43710.0,38997,374,3,Masters,Rent,0
45,52265.0,30611,578,8,High School,Own,0
34,91895.0,46235,475,12,High School,Mortgage,0
29,87506.0,40057,572,13,PhD,Own,0
46,61157.0,6239,588,9,Bachelors,Rent,0
22,122916.0,43138,571,5,PhD,Rent,0
40,116646.0,5125,365,15,Bachelors,Mortgage,0
48,145733.0,28857,782,5,Masters,Mortgage,0
27,84435.0,20398,547,16,High School,Mortgage,0
64,84484.0,11638,455,9,Masters,Own,1
28,22336.0,11570,346,17,Bachelors,Mortgage,0
55,103122.0,8249,753,26,PhD,Mortgage,0
34,149038.0,14110,500,21,PhD,Rent,1
37,52154.0,45363,423,17,Masters,Rent,1
56,100910.0,18605,300,2,Bachelors,Mortgage,0
60,63872.0,17115,490,19,Masters,Mortgage,0
24,66197.0,44062,815,26,Masters,Rent,0
22,118723.0,27911,741,20,High School,Mortgage,0
26,116809.0,43525,442,24,Masters,Own,0
62,71356.0,37556,490,27,High School,Own,0
24,82254.04771573604,17595,832,14,High School,Own,0
49,91907.0,6969,526,14,PhD,Mortgage,0
38,122916.0,48753,612,3,High School,Rent,0
46,20922.0,22275,601,28,High School,Mortgage,0
64,86656.0,9470,759,26,PhD,Mortgage,0
54,91907.0,15225,700,8,Masters,Rent,0
30,52265.0,47324,692,26,Bachelors,Rent,0
56,71356.0,46974,506,25,Bachelors,Rent,0
